goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
by Parra Gary 5-Panel Cap,Adjustable strap closure on rear,$50.00,$0,Made in Los Angeles,['OS'],"['Cotton twill fabric', '5-panel construction', 'Embroidered carstext and logo on front', 'EmbroideredParra branding on side panel', 'Adjustable strap closure on rear', 'Made in Los Angeles', 'Style:PA42470-WHT<br><br>Color: White<br><br>Material:Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/PA42470.WHT-1_2048x.jpg?v=1556656128', 'https://cdn.shopify.com/s/files/1/0094/2252/products/PA42470.WHT-2_2048x.jpg?v=1556656130', 'https://cdn.shopify.com/s/files/1/0094/2252/products/PA42470.WHT-3_2048x.jpg?v=1556656131']",1,men,1,https://kith.com/collections/mens-accessories-hats/products/pa42470-wht
Ader Error Logo Cap,AE19ASSCA03-NVY,$100.00,$0,Navy,['OS'],"['Cotton fabric', '6-panel construction', 'Embroideredade logo onfront', 'Buckle closure on rear', 'Style: AE19ASSCA03-NVY', 'Color: Navy', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA03.NVY-1_2048x.jpg?v=1555447756', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA03.NVY-3_2048x.jpg?v=1555447756', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA03.NVY-2_2048x.jpg?v=1555447756']",7,men,1,https://kith.com/collections/mens-accessories-hats/products/ader-error-logo-cap-navy
Ader Error Logo Cap,AE19ASSCA02-BLK,$100.00,$0,Black,['OS'],"['Cotton fabric', '6-panel construction', 'Ader Error patch on front', 'Buckle closure on rear', 'Embroidered Arrow on rear', 'Style:AE19ASSCA02-BLK', 'Color:Black', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA02.BLK--1_2048x.jpg?v=1555446934', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA02.BLK--3_2048x.jpg?v=1555446934', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA02.BLK--2_2048x.jpg?v=1555446934']",10,men,1,https://kith.com/collections/mens-accessories-hats/products/ae19assca02-blk
Rhude Racing Cap,RH03ACA06101,$176.00,$0,Black,['OS'],"['Cotton fabric', '6-Panels construction', 'Rhude Racing embroidered branding on front', 'Rear adjustable strap', 'Style:RH03ACA06101', 'Color: Black', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA06101-1_2048x.jpg?v=1555450996', 'https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA06101-3_2048x.jpg?v=1555450996', 'https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA06101-2_2048x.jpg?v=1555450996']",11,men,1,https://kith.com/collections/mens-accessories-hats/products/rh03aca06101
Ader Error Logo Cap,AE19ASSCA02IV-BEG,$100.00,$0,White,['OS'],"['Cotton fabric', '6-Panel construction', 'Curved peak', 'Ader Error logo on front', 'Rear buckle closure', 'Style:AE19ASSCA02IV-BEG', 'Color:White', 'Material: 100% Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA02IV.BEG--1_2048x.jpg?v=1555447779', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA02IV.BEG--3_2048x.jpg?v=1555447779', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA02IV.BEG--2_2048x.jpg?v=1555447779']",9,men,1,https://kith.com/collections/mens-accessories-hats/products/ae19assca02iv-beg
Ader Error Logo Cap,AE19ASSCA05-BLK,$90.00,$0,Black,['OS'],"['Cotton fabric', '6-panel construction', 'Embroidered Arrow logo on front', 'Embroidered Arrow on brim', 'Buckle closure on rear', 'Embroidered A on rear strap', 'Style: AE19ASSCA05-BLK', 'Color: Black', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA05.BLK--1_2048x.jpg?v=1555447103', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA05.BLK-3_2048x.jpg?v=1555447103', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA05.BLK--2_2048x.jpg?v=1555447103']",6,men,1,https://kith.com/collections/mens-accessories-hats/products/ader-error-logo-cap-black
Ader Error Logo Cap,AE19ASSCA03-BEG,$100.00,$0,Khaki,['OS'],"['Cotton fabric', '6-panel construction', 'Embroideredade logo on front', 'Buckle closure on rear', 'Style: AE19ASSCA03-BEG', 'Color: Khaki', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA03.BEG-1_2048x.jpg?v=1555449418', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA03.BEG-2_2048x.jpg?v=1555449418', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA03.BEG-3_2048x.jpg?v=1555449418']",8,men,1,https://kith.com/collections/mens-accessories-hats/products/ader-error-logo-cap-khaki
Ader Error Nylon Logo Cap,AE19ASSCA06-BLK,$113.00,$0,Black,['OS'],"['Nylon fabric', 'Paneled construction', 'Embroidered ade logo on front', 'Snapback closure', 'Style:AE19ASSCA06-BLK', 'Color:Black', 'Material: Nylon']","['https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA06.BLK-Nylon-1_2048x.jpg?v=1555510437', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA06.BLK-Nylon-3_2048x.jpg?v=1555510437', 'https://cdn.shopify.com/s/files/1/0094/2252/products/AE19ASSCA06.BLK-Nylon-2_2048x.jpg?v=1555510437']",5,men,1,https://kith.com/collections/mens-accessories-hats/products/ae19assca06-blk
Rhude Cap,RH03ACA06001,$176.00,$0,Black,['OS'],"['Cotton fabric', 'Rhude embroiderylogo on front', 'Flat peak', 'Rear strap closure', 'Style:RH03ACA06001', 'Color:Black', 'Material: Cotton']","['https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA06001-1_2048x.jpg?v=1555450848', 'https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA06001-3_2048x.jpg?v=1555450848', 'https://cdn.shopify.com/s/files/1/0094/2252/products/RH03ACA06001-2_2048x.jpg?v=1555450848']",12,men,1,https://kith.com/collections/mens-accessories-hats/products/rh03aca06001
by Parra Labyrinth Logo Volly Cap,Embroidered Parra branding on side panel,$50.00,$0,Adjustable strap with clip closure on rear,['OS'],"['Nylonfabric', 'Parra box branding on front', 'Embroidered Parra branding on side panel', 'Adjustable strap with clip closure on rear', 'Style:PA42210-PPL<br><br>Color:Purple<br><br>Material: Nylon']","['https://cdn.shopify.com/s/files/1/0094/2252/products/PA42210.PPL-1_2048x.jpg?v=1556656163', 'https://cdn.shopify.com/s/files/1/0094/2252/products/PA42210.PPL-2_2048x.jpg?v=1556656165', 'https://cdn.shopify.com/s/files/1/0094/2252/products/PA42210.PPL-3_2048x.jpg?v=1556656166']",3,men,1,https://kith.com/collections/mens-accessories-hats/products/pa42210-ppl
